Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;
San Marino [Europe];2004;Both sexes;61.0;null;87.0;
Portugal [Europe];2004;Male;229.0;null;4;
Cameroon [Africa];2004;Male;153.0;null;;
Kazakhstan [Europe];2004;Female;174.0;null;294.0;
Andorra [Europe];2004;Female;73.0;null;267.0;
Ukraine [Europe];2004;Both sexes;326.0;null;166.0;
Algeria [Africa];2004;Male;76.0;null;;
Bahamas [Americas];2004;Both sexes;129.0;null;219.0;
Netherlands [Europe];2004;Male;107.0;null;2;
Thailand [South-East Asia];2004;Female;180.0;null;169.0;
Democratic Republic of the Congo [Africa];2004;Male;85.0;null;;
Nicaragua [Americas];2004;Female;66.0;null;221.0;
Mongolia [Western Pacific];2004;Both sexes;341.0;null;48.0;
Sweden [Europe];2004;Female;69.0;null;230.0;
Cabo Verde [Africa];2004;Both sexes;79.0;null;140.0;
Bhutan [South-East Asia];2004;Male;362.0;null;;
Luxembourg [Europe];2004;Male;247.0;null;3;
Mauritius [Africa];2004;Both sexes;62.0;null;129.0;
Republic of Moldova [Europe];2004;Both sexes;251.0;null;159.0;
Fiji [Western Pacific];2004;Male;80.0;null;;
Albania [Europe];2004;Female;102.0;null;384.0;
Saint Lucia [Americas];2004;Female;58.0;null;286.0;
Sudan [Eastern Mediterranean];2004;Male;269.0;null;;
Sweden [Europe];2004;Male;143.0;null;2;
Vanuatu [Western Pacific];2004;Both sexes;80.0;null;128.0;
Israel [Europe];2004;Both sexes;79.0;null;179.0;
Samoa [Western Pacific];2004;Female;65.0;null;300.0;
Guinea [Africa];2004;Both sexes;140.0;null;102.0;
Tajikistan [Europe];2004;Female;70.0;null;142.0;
Ireland [Europe];2004;Both sexes;120.0;null;182.0;
Chile [Americas];2004;Female;51.0;null;166.0;
Sierra Leone [Africa];2004;Male;316.0;null;;
Central African Republic [Africa];2004;Both sexes;141.0;null;104.0;
Maldives [South-East Asia];2004;Both sexes;359.0;null;89.0;
Mexico [Americas];2004;Male;200.0;null;2;
Samoa [Western Pacific];2004;Male;86.0;null;;
Honduras [Americas];2004;Female;80.0;null;276.0;
Canada [Americas];2004;Female;58.0;null;335.0;
Denmark [Europe];2004;Female;98.0;null;393.0;
Australia [Western Pacific];2004;Both sexes;175.0;null;171.0;
Uruguay [Americas];2004;Male;124.0;null;1;
