Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
United States of America [Americas];null;null;2000;Male;74.12286;null;9;14.72821;9.26326;;144.5296;
Algeria [Africa];null;null;2010;Male;74.95451;null;29;15.54893;28.88455;;116.2364;
Timor-Leste [South-East Asia];null;null;2019;Both sexes;69.62458;null;;13.17046;43.69628;;;
Guinea [Africa];null;null;2019;Both sexes;61.00587;null;;12.30636;97.99518;;;
Mauritania [Africa];null;null;2010;Both sexes;65.59114;null;;13.90695;95.60123;;212.7046;
New Zealand [Western Pacific];null;null;2015;Female;82.8511;null;5;18.9155;4.97637;;52.157;
Botswana [Africa];null;null;2015;Both sexes;60.92577;null;;11.55499;49.65495;;263.3242;
Hungary [Europe];null;null;2019;Both sexes;76.44219;null;;15.29742;4.11638;;;
Qatar [Eastern Mediterranean];null;null;2019;Female;76.62833;null;6;13.10363;5.69335;;;
Guinea [Africa];null;null;2000;Male;53.10465;null;172;11.40671;171.70236;;336.4607;
China [Western Pacific];null;null;2019;Female;80.49312;null;7;16.93112;7.42435;;;
C\u00f4te d'Ivoire [Africa];null;null;2019;Both sexes;62.91527;null;;12.6845;80.31983;;;
Armenia [Europe];null;null;2015;Both sexes;74.51096;null;;15.02079;14.09067;;121.2919;
Croatia [Europe];null;null;2019;Male;75.53787;null;5;14.60876;5.07511;;;
Belarus [Europe];null;null;2010;Male;64.54675;null;6;10.79504;6.29169;;336.0834;
Jordan [Eastern Mediterranean];null;null;2010;Female;77.6183;null;18;15.60433;18.12084;;98.97737;
United Arab Emirates [Eastern Mediterranean];null;null;2015;Female;77.84315;null;7;14.92032;6.79164;;57.18084;
null;null;Global;2000;Both sexes;66.7943;null;;14.13883;75.82664;;180.9661;
Portugal [Europe];null;null;2010;Both sexes;79.73194;null;;17.64441;3.819;;86.03724;
North Macedonia [Europe];null;null;2010;Female;75.39911;null;9;14.29519;9.59163;;73.26398;
Jamaica [Americas];null;null;2015;Female;77.713;null;14;17.64726;13.61721;;97.33778;
Madagascar [Africa];null;null;2010;Both sexes;62.79004;null;;12.13436;69.31976;;247.4639;
Papua New Guinea [Western Pacific];null;null;2015;Female;66.54095;null;46;12.72498;47.11672;;192.4701;
Ghana [Africa];null;null;2015;Female;67.41139;null;49;13.70106;49.15216;;226.6174;
Slovenia [Europe];null;null;2000;Female;79.73648;null;5;16.98582;4.9498;;73.6299;
Kiribati [Western Pacific];null;null;2010;Both sexes;58.0072;null;;10.00727;64.40625;;207.2804;
Lesotho [Africa];null;null;2000;Female;50.68286;null;99;12.15278;99.04703;;491.4424;
Croatia [Europe];null;null;2015;Both sexes;77.5798;null;;15.78344;4.90772;;95.57539;
Bulgaria [Europe];null;null;2010;Both sexes;73.64205;null;;14.62451;10.77763;;143.4352;
Cabo Verde [Africa];null;null;2019;Female;77.93941;null;13;16.25799;13.45657;;;
C\u00f4te d'Ivoire [Africa];null;null;2010;Female;58.93549;null;;12.80973;95.80048;;399.1595;
Denmark [Europe];null;null;2019;Male;79.58591;null;4;17.55581;4.10088;;;
Brazil [Americas];null;null;2000;Male;67.898;null;38;13.63506;38.58331;;244.3584;
Iceland [Europe];null;null;2019;Both sexes;82.32826;null;;19.03577;1.99832;;;
Germany [Europe];null;null;2010;Female;82.53684;null;4;18.79536;3.77379;;53.30082;
Slovenia [Europe];null;null;2015;Both sexes;80.47;null;;17.39838;2.59208;;74.17551;
Eswatini [Africa];null;null;2000;Both sexes;47.04535;null;;9.91933;112.19018;;539.9345;
El Salvador [Americas];null;null;2015;Female;78.02328;null;14;16.99972;13.85638;;103.6016;
Italy [Europe];null;null;2019;Female;84.89528;null;3;19.83552;2.78487;;;
Turkmenistan [Europe];null;null;2000;Female;67.43173;null;61;13.92383;60.7248;;147.6232;
United Republic of Tanzania [Africa];null;null;2015;Female;67.26328;null;76;13.68691;54.06227;46.7173;228.1309;
Albania [Europe];null;null;2015;Male;76.1022;null;10;15.89643;10.31132;;117.7522;
Albania [Europe];null;null;2019;Both sexes;78.00018;null;;16.57578;9.69245;;;
Chile [Americas];null;null;2000;Both sexes;76.77242;null;;16.38346;10.89066;;102.7769;
null;Lower-middle-income;null;2015;Male;66.44492;null;;12.78705;;;;
Bangladesh [South-East Asia];null;null;2019;Both sexes;74.25471;null;;15.49904;30.67156;;;
Burundi [Africa];null;null;2019;Female;66.13831;null;52;13.47469;51.62567;;;
Bhutan [South-East Asia];null;null;2010;Male;69.86668;null;45;14.07852;45.53006;;223.9899;
Qatar [Eastern Mediterranean];null;null;2010;Both sexes;74.07913;null;;12.52002;9.14655;;65.15009;
Afghanistan [Eastern Mediterranean];null;null;2019;Female;63.15551;null;57;10.55539;56.3962;;;
Barbados [Americas];null;null;2000;Female;76.71597;null;14;16.90858;13.84702;;100.4072;
Tonga [Western Pacific];null;null;2015;Female;75.54055;null;19;15.76748;10.87843;;101.6157;
Chad [Africa];null;null;2015;Female;59.63458;null;122;12.45815;121.22829;;344.4723;
Russian Federation [Europe];null;null;2019;Both sexes;73.23246;null;;15.02735;5.8401;;;
Portugal [Europe];null;null;2019;Female;84.39763;null;3;19.81728;3.10446;;;
Bangladesh [South-East Asia];null;null;2015;Female;74.78614;null;35;15.57446;35.84677;;112.7376;
Gabon [Africa];null;null;2015;Both sexes;64.93317;null;;12.57844;50.30091;;228.1711;
null;null;Eastern Mediterranean;2010;Male;66.03385;null;;12.95281;62.75926;;179.3566;
Lebanon [Eastern Mediterranean];null;null;2000;Both sexes;74.61004;null;;14.87307;19.88744;;113.8295;
Burundi [Africa];null;null;2000;Female;45.85238;null;147;10.63947;146.22359;;327.7431;
Senegal [Africa];null;null;2019;Both sexes;68.57918;null;;13.14389;39.72897;;;
Cyprus [Europe];null;null;2000;Female;80.98973;null;6;17.56728;5.92795;;55.8417;
Burkina Faso [Africa];null;null;2015;Both sexes;60.91832;null;;12.33858;100.89463;;259.5785;
Peru [Americas];null;null;2019;Both sexes;79.89777;null;;18.48695;13.30471;;;
Eswatini [Africa];null;null;2019;Both sexes;57.72837;null;;10.98041;47.99808;;;
Qatar [Eastern Mediterranean];null;null;2010;Male;74.96882;null;10;13.61995;9.86551;;69.5816;
Argentina [Americas];null;null;2000;Both sexes;74.08556;null;;15.64696;19.61252;;138.5419;
Burundi [Africa];null;null;2015;Both sexes;62.04675;null;;12.43473;67.61729;;296.0609;
Eritrea [Africa];null;null;2000;Male;51.16452;null;94;8.62769;93.84861;;713.6298;
United Republic of Tanzania [Africa];null;null;2000;Female;53.61302;null;123;12.62976;124.28556;;422.1561;
Ukraine [Europe];null;null;2019;Both sexes;73.01635;null;;14.968;8.37342;;;
Mozambique [Africa];null;null;2019;Both sexes;58.13618;null;;11.58701;72.87933;;;
South Africa [Africa];null;null;2010;Male;55.04302;null;54;11.08427;55.07562;;462.1209;
Cyprus [Europe];null;null;2010;Male;78.92952;null;4;17.10612;3.63468;;86.86954;
Slovenia [Europe];null;null;2019;Both sexes;81.30905;null;;17.82787;2.25229;;;
Mongolia [Western Pacific];null;null;2010;Male;61.09134;null;34;10.27324;29.48948;;317.2375;
Gabon [Africa];null;null;2000;Female;60.10243;null;80;12.49871;76.35919;48.88796;308.109;
Samoa [Western Pacific];null;null;2019;Both sexes;70.45068;null;;13.40152;17.41393;;;
Jordan [Eastern Mediterranean];null;null;2015;Female;78.76654;null;16;16.13038;15.75973;;93.40777;
Bosnia and Herzegovina [Europe];null;null;2015;Female;78.64929;null;6;16.07124;5.6219;;63.76156;
Mexico [Americas];null;null;2000;Male;71.67798;null;31;15.17446;31.05841;;174.518;
Belarus [Europe];null;null;2019;Male;69.65255;null;4;12.29243;3.50286;;;
Yemen [Eastern Mediterranean];null;null;2000;Male;60.85933;null;99;12.08413;99.37479;;273.1234;
Samoa [Western Pacific];null;null;2010;Female;71.15867;null;17;13.4106;17.40518;;98.14707;
Togo [Africa];null;null;2015;Female;64.83113;null;70;13.50661;70.17895;;253.9756;
Italy [Europe];null;null;2000;Male;76.40755;null;6;15.57554;5.96387;;100.305;
Malaysia [Western Pacific];null;null;2015;Female;77.13223;null;7;15.36169;7.37763;;87.1768;
null;null;Global;2015;Both sexes;72.27778;null;;15.52817;42.62635;;144.3342;
Philippines [Western Pacific];null;null;2000;Female;72.87267;null;34;14.59704;33.7012;;157.1187;
Suriname [Americas];null;null;2019;Female;74.63403;null;16;15.41732;15.8695;;;
Kenya [Africa];null;null;2019;Male;63.69933;null;47;11.94639;46.73334;;;
Uzbekistan [Europe];null;null;2010;Both sexes;70.18845;null;;13.49806;28.72445;;144.918;
Suriname [Americas];null;null;2019;Male;68.49753;null;20;12.61132;20.22974;;;
Switzerland [Europe];null;null;2015;Male;80.64204;null;5;18.16262;4.62547;;62.20138;
Micronesia (Federated States of) [Western Pacific];null;null;2019;Male;60.34532;null;32;10.67585;28.80213;;;
Panama [Americas];null;null;2019;Male;76.64988;null;16;17.07599;16.39493;;;
Chad [Africa];null;null;2010;Female;57.42608;null;140;12.12204;139.51527;;356.81;
Slovenia [Europe];null;null;2010;Both sexes;79.5501;null;;17.038;3.23292;;87.21168;
Luxembourg [Europe];null;null;2019;Female;84.19806;null;2;19.30577;2.53441;;;
Kyrgyzstan [Europe];null;null;2019;Female;77.31073;null;16;16.8179;16.17025;;;
Bhutan [South-East Asia];null;null;2010;Both sexes;71.00534;null;;14.21184;42.35812;;227.8074;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2019;Both sexes;77.34517;null;;15.72123;13.39644;;;
Benin [Africa];null;null;2015;Male;59.66497;null;106;11.91045;103.83386;;269.2838;
Costa Rica [Americas];null;null;2019;Male;78.31458;null;9;17.79529;8.73649;;;
Malta [Europe];null;null;2000;Female;80.10076;null;7;17.1755;7.09961;;51.31118;
Djibouti [Eastern Mediterranean];null;null;2000;Male;57.87146;null;108;11.61197;107.37571;;349.8599;
Nigeria [Africa];null;null;2015;Both sexes;61.15609;null;;13.21359;126.44652;;355.4256;
Benin [Africa];null;null;2019;Male;61.19024;null;96;12.26186;94.29517;;;
United Republic of Tanzania [Africa];null;null;2015;Male;63.375;null;80;12.47363;61.98405;56.00511;311.326;
Singapore [Western Pacific];null;null;2010;Male;79.36228;null;3;17.48948;3.05735;;76.87585;
Congo [Africa];null;null;2010;Male;60.98846;null;67;11.44342;66.64081;;313.6215;
Nigeria [Africa];null;null;2019;Both sexes;62.61868;null;;13.53698;116.93587;;;
Libya [Eastern Mediterranean];null;null;2000;Female;76.27586;null;25;16.04659;25.21102;;121.921;
Egypt [Eastern Mediterranean];null;null;2019;Female;74.14153;null;19;13.98842;18.82581;;;
Suriname [Americas];null;null;2010;Male;68.71065;null;26;13.86954;25.79585;;246.1554;
Russian Federation [Europe];null;null;2010;Both sexes;68.76031;null;;13.37463;10.368;;250.5558;
Norway [Europe];null;null;2010;Both sexes;80.8722;null;;17.64381;3.27189;;65.03664;
Ghana [Africa];null;null;2000;Male;57.74979;null;107;11.31419;107.14747;;333.6524;
China [Western Pacific];null;null;2010;Male;72.26303;null;17;14.00463;16.75364;;101.1175;
Belize [Americas];null;null;2010;Both sexes;73.38513;null;;16.57981;18.93654;;182.1816;
null;null;Europe;2019;Both sexes;78.24261;null;;17.14354;7.84289;;;
Micronesia (Federated States of) [Western Pacific];null;null;2010;Both sexes;62.66982;null;;11.3171;33.10945;;171.6082;
Sweden [Europe];null;null;2019;Both sexes;82.40387;null;;18.863;2.67643;;;
Azerbaijan [Europe];null;null;2010;Male;66.28625;null;41;11.96388;40.65416;;177.1558;
Azerbaijan [Europe];null;null;2000;Male;62.57429;null;80;12.08624;79.41519;;216.6726;
Malta [Europe];null;null;2015;Female;83.57609;null;6;19.47939;6.02189;;39.23337;
Democratic People's Republic of Korea [South-East Asia];null;null;2000;Male;60.79063;null;65;11.10626;64.71582;;242.7625;
Georgia [Europe];null;null;2000;Female;73.13734;null;32;14.40337;32.13956;;70.60685;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2019;Male;75.694;null;15;15.59013;14.02516;;;
Sudan [Eastern Mediterranean];null;null;2010;Male;64.74486;null;94;12.94527;81.41188;66.3437;273.0521;
Switzerland [Europe];null;null;2010;Female;84.18406;null;4;19.82608;4.16801;;42.58147;
Timor-Leste [South-East Asia];null;null;2019;Male;67.92676;null;48;12.5096;47.40001;;;
Brunei Darussalam [Western Pacific];null;null;2010;Both sexes;74.567;null;;14.25568;9.68736;;91.15681;
Montenegro [Europe];null;null;2010;Both sexes;74.68839;null;;14.68492;6.70106;;111.8612;
Costa Rica [Americas];null;null;2015;Female;83.47144;null;8;19.55568;8.368;;66.68131;
Saint Lucia [Americas];null;null;2000;Female;76.31937;null;17;16.31787;16.69008;;147.4766;
Switzerland [Europe];null;null;2000;Both sexes;79.71678;null;;17.65919;5.63702;;77.55467;
China [Western Pacific];null;null;2015;Male;73.85298;null;11;14.61396;11.36343;;94.0695;
Norway [Europe];null;null;2015;Male;80.26122;null;3;17.4421;2.99827;;64.89056;
Belarus [Europe];null;null;2015;Both sexes;73.81525;null;;14.67915;4.08725;;163.0288;
Belize [Americas];null;null;2010;Female;76.11723;null;17;17.08835;17.0969;;135.5335;
South Sudan [Africa];null;null;2019;Female;64.84216;null;91;13.14231;93.77919;;;
United Arab Emirates [Eastern Mediterranean];null;null;2015;Male;74.25413;null;9;13.73477;8.37469;;81.09374;
Guatemala [Americas];null;null;2010;Both sexes;69.3014;null;;14.40217;34.78394;;186.1481;
Azerbaijan [Europe];null;null;2019;Female;74.09107;null;18;14.19826;18.29745;;;
Cameroon [Africa];null;null;2015;Both sexes;59.11311;null;;12.27554;87.97468;;355.0426;
Uzbekistan [Europe];null;null;2015;Female;73.91861;null;20;14.72421;16.55963;;98.0956;
Iraq [Eastern Mediterranean];null;null;2015;Male;67.3221;null;32;13.49323;32.51447;;222.5987;
Malawi [Africa];null;null;2010;Male;54.3807;null;138;10.24794;90.88223;81.37066;419.7727;
null;null;Western Pacific;2015;Both sexes;76.98302;null;;16.29932;13.59464;;87.95473;
Dominican Republic [Americas];null;null;2000;Both sexes;73.2209;null;;17.33591;39.98213;;212.4086;
Montenegro [Europe];null;null;2010;Male;72.26621;null;7;13.54241;7.13258;;146.8232;
United States of America [Americas];null;null;2019;Both sexes;78.49568;null;;16.35181;6.44661;;;
Bahamas [Americas];null;null;2010;Male;69.64163;null;17;14.90555;16.62803;;205.4074;
Georgia [Europe];null;null;2015;Both sexes;72.58078;null;;14.20528;10.50551;;156.4024;
Sweden [Europe];null;null;2019;Female;83.9655;null;2;19.37028;2.43396;;;
Saint Vincent and the Grenadines [Americas];null;null;2019;Both sexes;73.21834;null;;15.90795;14.621;;;
Israel [Europe];null;null;2019;Both sexes;82.62151;null;;19.33035;3.64629;;;
South Sudan [Africa];null;null;2000;Female;56.38318;null;175;12.18114;175.53108;;358.2166;
Mauritius [Africa];null;null;2010;Female;76.80299;null;13;15.07235;13.00792;;106.9622;
Timor-Leste [South-East Asia];null;null;2010;Male;66.79213;null;66;13.09544;65.88523;;179.2943;
Republic of Moldova [Europe];null;null;2000;Female;70.52967;null;28;13.19528;27.93272;;150.8966;
Ukraine [Europe];null;null;2015;Both sexes;72.2022;null;;14.57528;9.47583;;187.7428;
Nigeria [Africa];null;null;2015;Female;62.79717;null;120;13.548;119.3374;;334.9953;
Costa Rica [Americas];null;null;2015;Male;78.16401;null;10;17.67271;9.76193;;126.9634;
Belize [Americas];null;null;2000;Male;67.17996;null;26;13.54746;25.87519;;244.7013;
Namibia [Africa];null;null;2015;Both sexes;62.86888;null;;12.5218;47.62926;;295.8377;
New Zealand [Western Pacific];null;null;2010;Both sexes;80.93715;null;;18.26278;6.13905;;70.84045;
Uganda [Africa];null;null;2015;Female;68.12691;null;51;14.39153;50.12531;;246.386;
Singapore [Western Pacific];null;null;2010;Both sexes;81.70047;null;;18.76589;2.83099;;60.00524;
Nicaragua [Americas];null;null;2010;Male;71.38432;null;27;13.79459;26.60792;;207.6552;
Gambia [Africa];null;null;2019;Both sexes;65.4712;null;;12.63924;51.17933;;;
Albania [Europe];null;null;2015;Both sexes;77.84428;null;;16.66335;9.55666;;92.23947;
Cameroon [Africa];null;null;2010;Male;55.09486;null;117;11.00226;117.5686;;367.0558;
Cameroon [Africa];null;null;2000;Both sexes;52.82113;null;;11.1125;143.9302;;412.2737;
Czechia [Europe];null;null;2000;Both sexes;74.95213;null;;14.62561;5.46451;;124.2605;
Togo [Africa];null;null;2000;Male;53.9011;null;126;10.72403;128.09619;;342.7661;
Guatemala [Americas];null;null;2019;Male;68.95307;null;27;14.44768;27.03939;;;
Vanuatu [Western Pacific];null;null;2000;Male;61.35443;null;31;11.0911;30.70224;;206.6755;
Uzbekistan [Europe];null;null;2000;Male;62.39997;null;69;11.77939;67.87869;;230.0222;
Myanmar [South-East Asia];null;null;2015;Both sexes;67.57671;null;;13.32924;52.19027;;197.3041;
Kyrgyzstan [Europe];null;null;2015;Male;67.91751;null;25;12.98824;24.78902;;228.957;
null;null;Global;2019;Male;70.84768;null;;14.82269;39.76443;;;
null;Lower-middle-income;null;2010;Female;68.44291;null;;13.54368;;;;
Malawi [Africa];null;null;2019;Female;68.92786;null;37;14.04248;36.14544;;;
Guinea-Bissau [Africa];null;null;2019;Both sexes;60.21801;null;;11.37914;79.61008;;;
null;null;Global;2010;Both sexes;70.52787;null;;15.08183;51.16101;;155.7062;
Peru [Americas];null;null;2000;Female;75.93781;null;57;17.08786;35.0658;40.20181;121.5522;
Mozambique [Africa];null;null;2010;Both sexes;53.47655;null;;11.07113;104.89973;;408.9184;
null;null;Americas;2000;Female;77.09953;null;;16.58156;23.74366;;101.4579;
Malawi [Africa];null;null;2010;Both sexes;56.79726;null;;11.83401;84.18284;;366.2591;
Venezuela (Bolivarian Republic of) [Americas];null;null;2000;Male;70.51161;null;24;14.9782;23.99469;;230.4789;
null;null;Global;2010;Male;67.97157;null;;14.06207;53.02273;;185.3971;
Sudan [Eastern Mediterranean];null;null;2015;Both sexes;67.93808;null;;13.54672;65.90055;;226.5876;
Morocco [Eastern Mediterranean];null;null;2019;Female;74.31212;null;19;14.57045;17.46047;;;
null;null;Americas;2015;Female;79.5191;null;;17.32524;13.36966;;88.53642;
New Zealand [Western Pacific];null;null;2000;Female;81.05739;null;7;18.04068;6.59699;;67.20971;
Kazakhstan [Europe];null;null;2019;Male;69.97667;null;12;13.00081;11.41595;;;
Madagascar [Africa];null;null;2015;Male;62.87302;null;63;12.0623;63.86998;;245.1018;
Suriname [Americas];null;null;2000;Both sexes;69.94162;null;;14.54683;31.21524;;221.5465;
Czechia [Europe];null;null;2010;Male;74.41394;null;4;14.02324;3.7731;;135.3554;
Singapore [Western Pacific];null;null;2015;Both sexes;82.80753;null;;19.54428;2.73578;;53.56262;
Tonga [Western Pacific];null;null;2019;Female;75.60913;null;10;15.72261;10.27143;10.06826;;
Montenegro [Europe];null;null;2000;Male;70.87914;null;15;13.71846;15.15043;;183.4012;
Germany [Europe];null;null;2019;Male;78.72021;null;4;16.95407;4.02251;;;
Trinidad and Tobago [Americas];null;null;2010;Male;68.74104;null;25;13.63992;24.61324;;225.7865;
Czechia [Europe];null;null;2019;Female;81.93262;null;3;17.75087;2.67508;;;
Kenya [Africa];null;null;2019;Female;68.44287;null;39;14.02955;39.07892;;;
Nigeria [Africa];null;null;2019;Female;64.10055;null;110;13.80753;110.22477;;;
Kuwait [Eastern Mediterranean];null;null;2010;Male;78.76203;null;11;17.00879;11.22605;;97.21329;
null;Upper-middle-income;null;2000;Both sexes;70.63803;null;;14.03875;;;;
Nigeria [Africa];null;null;2015;Male;59.59;null;134;12.87006;133.1568;;375.7653;
Sudan [Eastern Mediterranean];null;null;2010;Both sexes;66.55967;null;;13.31404;75.67568;;242.8769;
null;Low-income;null;2000;Both sexes;53.78978;null;;11.41647;;;;
Spain [Europe];null;null;2010;Both sexes;81.69273;null;;18.51925;3.84647;;64.63471;
Pakistan [Eastern Mediterranean];null;null;2019;Both sexes;65.60827;null;;12.57361;67.32203;;;
Cabo Verde [Africa];null;null;2015;Male;72.17604;null;21;16.02293;21.36521;;147.2291;
Kiribati [Western Pacific];null;null;2019;Male;56.13857;null;55;9.53344;55.60593;;;
Spain [Europe];null;null;2010;Female;84.58403;null;4;19.78593;3.53466;;40.4733;
India [South-East Asia];null;null;2010;Male;65.68546;null;55;12.12251;55.26087;;225.7626;
Cyprus [Europe];null;null;2015;Male;79.88566;null;3;17.49859;3.11501;;74.98;
Uruguay [Americas];null;null;2015;Male;73.30819;null;10;14.93508;9.82469;;149.1929;
Greece [Europe];null;null;2019;Both sexes;81.09948;null;;18.43798;4.15192;;;
Grenada [Americas];null;null;2000;Both sexes;71.96758;null;;13.91162;15.46807;;182.0508;
India [South-East Asia];null;null;2010;Female;68.93996;null;61;13.02914;61.2292;;159.788;
Costa Rica [Americas];null;null;2000;Male;75.47218;null;14;15.99794;14.43138;;128.6074;
Central African Republic [Africa];null;null;2010;Both sexes;48.51089;null;;9.44844;144.99483;;457.9922;
South Africa [Africa];null;null;2000;Male;53.07986;null;75;10.6723;75.48163;;414.1253;
Guinea-Bissau [Africa];null;null;2000;Male;47.7679;null;183;9.05965;183.9894;;306.1341;
India [South-East Asia];null;null;2015;Male;68.10913;null;54;12.80822;42.12313;45.18523;216.6044;
Eritrea [Africa];null;null;2010;Male;57.78076;null;61;9.49086;61.16057;;327.9204;
Kenya [Africa];null;null;2010;Both sexes;61.17774;null;;12.38217;57.42011;;285.2959;
Cabo Verde [Africa];null;null;2019;Both sexes;74.03075;null;;14.87186;14.9203;;;
Brunei Darussalam [Western Pacific];null;null;2010;Male;73.34856;null;11;13.79561;10.52082;;107.5232;
Liberia [Africa];null;null;2010;Male;60.07106;null;108;12.11896;106.49569;;275.8315;
Russian Federation [Europe];null;null;2015;Both sexes;71.29893;null;;14.44048;8.24093;;207.8257;
Cabo Verde [Africa];null;null;2010;Male;70.82956;null;29;15.86541;28.66901;;160.9122;
Georgia [Europe];null;null;2010;Female;76.30207;null;12;15.47471;12.42981;;80.98518;
Equatorial Guinea [Africa];null;null;2000;Both sexes;54.31445;null;;11.15747;155.73568;;359.351;
Djibouti [Eastern Mediterranean];null;null;2010;Both sexes;61.8674;null;;13.07583;76.61019;;271.3325;
Mongolia [Western Pacific];null;null;2015;Female;72.13081;null;18;14.01911;17.04991;;128.9965;
Nigeria [Africa];null;null;2000;Female;55.16698;null;174;12.34755;173.91881;;388.3938;
Algeria [Africa];null;null;2019;Female;78.12115;null;22;16.15828;21.82611;;;
Lao People's Democratic Republic [Western Pacific];null;null;2000;Both sexes;58.40971;null;;11.61445;107.19765;;277.634;
null;null;Eastern Mediterranean;2010;Female;69.27311;null;;13.57636;55.63785;;133.5672;
Belgium [Europe];null;null;2019;Both sexes;81.42305;null;;18.17444;4.21627;;;
Ukraine [Europe];null;null;2019;Female;77.81106;null;8;16.65644;7.54053;;;
Egypt [Eastern Mediterranean];null;null;2010;Female;72.69277;null;27;13.97114;27.01957;;134.7864;
Sierra Leone [Africa];null;null;2015;Female;57.93263;null;132;12.36362;132.58598;;397.3172;
Poland [Europe];null;null;2019;Both sexes;78.26672;null;;16.8408;4.44888;;;
Ireland [Europe];null;null;2010;Male;78.33406;null;5;17.0787;4.5419;;81.40005;
Finland [Europe];null;null;2015;Both sexes;81.21355;null;;18.27993;2.49204;;69.51583;
Namibia [Africa];null;null;2000;Both sexes;53.31758;null;;10.77715;75.84437;;427.9667;
Belgium [Europe];null;null;2000;Female;80.73817;null;5;17.94218;5.09871;;68.03889;
Democratic Republic of the Congo [Africa];null;null;2019;Female;64.81888;null;78;13.35452;77.11016;;;
Mauritania [Africa];null;null;2019;Male;68.08337;null;79;14.5726;78.7471;;;
Democratic Republic of the Congo [Africa];null;null;2015;Female;62.73359;null;90;13.09555;88.70359;;235.5419;
null;High-income;null;2010;Both sexes;79.82361;null;;17.77528;;;;
Philippines [Western Pacific];null;null;2015;Female;73.66255;null;27;14.76283;26.50005;;142.2245;
Colombia [Americas];null;null;2000;Both sexes;73.74615;null;;16.25097;25.06526;;171.4431;
Sweden [Europe];null;null;2015;Both sexes;81.74503;null;;18.50013;2.86016;;53.95993;
Togo [Africa];null;null;2010;Female;61.82516;null;81;13.1571;82.73124;;291.48;
United Arab Emirates [Eastern Mediterranean];null;null;2015;Both sexes;75.31077;null;;14.08675;7.6007;;75.03873;
Central African Republic [Africa];null;null;2015;Female;53.03206;null;120;10.79386;116.78453;;409.1776;
Australia [Western Pacific];null;null;2019;Female;84.84017;null;3;19.70638;3.37233;;;
Pakistan [Eastern Mediterranean];null;null;2000;Male;59.321;null;111;11.40701;111.66554;;202.9481;
Burkina Faso [Africa];null;null;2015;Female;63.44909;null;96;13.16874;95.79671;;243.6195;
Chile [Americas];null;null;2010;Female;81.30399;null;8;18.24369;7.92495;;64.1481;
Fiji [Western Pacific];null;null;2010;Both sexes;67.60218;null;;11.62712;23.63877;;199.8623;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2015;Male;74.96297;null;17;15.33445;16.12869;;101.3133;
Maldives [South-East Asia];null;null;2000;Both sexes;70.95687;null;;13.68897;38.9606;;142.177;
Canada [Americas];null;null;2000;Both sexes;79.09756;null;;17.31951;6.22838;;80.76741;
Indonesia [South-East Asia];null;null;2015;Female;72.504;null;25;13.79891;24.67397;;147.9472;
Libya [Eastern Mediterranean];null;null;2010;Female;77.30268;null;15;15.98347;14.80123;;96.00785;
Bolivia (Plurinational State of) [Americas];null;null;2015;Both sexes;71.5186;null;;14.13706;31.32866;;185.2289;
Uruguay [Americas];null;null;2015;Female;80.5644;null;8;18.38345;7.85749;;79.63537;
North Macedonia [Europe];null;null;2015;Female;75.87265;null;12;14.59424;10.49942;;67.11473;
Belarus [Europe];null;null;2015;Male;68.55762;null;5;11.90697;4.58601;;245.5286;
null;null;Europe;2010;Male;72.13924;null;;14.85908;12.84925;;189.1396;
Guatemala [Americas];null;null;2015;Female;74.00925;null;25;15.13672;25.31549;;120.3983;
Luxembourg [Europe];null;null;2010;Both sexes;80.94445;null;;17.9762;2.83192;;66.82915;
Tunisia [Eastern Mediterranean];null;null;2015;Male;74.57684;null;19;15.01418;18.62045;;113.1061;
Guyana [Americas];null;null;2015;Male;62.31269;null;37;11.57316;37.19832;;312.7337;
Syrian Arab Republic [Eastern Mediterranean];null;null;2019;Male;71.18203;null;23;13.76955;24.18491;;;
Cambodia [Western Pacific];null;null;2000;Both sexes;58.68463;null;;11.75523;106.33443;;279.7494;
Democratic People's Republic of Korea [South-East Asia];null;null;2019;Male;69.29003;null;19;13.60502;19.10248;;;
Switzerland [Europe];null;null;2010;Both sexes;82.1935;null;;18.89677;4.5595;;57.0278;
Peru [Americas];null;null;2010;Both sexes;77.28428;null;;17.5133;19.7519;;132.1755;
Kazakhstan [Europe];null;null;2015;Male;67.42753;null;13;12.30432;13.41282;;272.0491;
Lithuania [Europe];null;null;2000;Female;77.23074;null;10;16.3591;9.58602;;104.7806;
Tonga [Western Pacific];null;null;2010;Female;75.502;null;19;15.8203;11.53316;;108.7498;
Austria [Europe];null;null;2019;Male;79.44242;null;4;17.1768;3.91738;;;
Estonia [Europe];null;null;2000;Both sexes;70.94411;null;;14.26785;10.93968;;215.6978;
Nepal [South-East Asia];null;null;2000;Male;63.86727;null;83;12.41032;81.42389;;260.7377;
Sri Lanka [South-East Asia];null;null;2010;Male;69.4411;null;13;13.48458;12.43604;;189.5367;
Micronesia (Federated States of) [Western Pacific];null;null;2019;Both sexes;63.02715;null;;11.13955;25.43364;;;
