Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Uzbekistan [Europe];null;null;2015;Male;68.98178;null;26;12.96435;21.91955;;170.0708;
Russian Federation [Europe];null;null;2010;Male;62.94279;null;12;10.98144;11.52752;;362.8167;
El Salvador [Americas];null;null;2000;Female;76.47576;null;29;16.86545;29.95999;;135.1523;
Nigeria [Africa];null;null;2000;Both sexes;53.63285;null;;11.96788;182.85618;;407.4989;
Suriname [Americas];null;null;2015;Male;69.49567;null;23;13.62324;22.70724;;226.5202;
Bahrain [Eastern Mediterranean];null;null;2015;Female;77.27293;null;7;14.18187;7.32103;;51.14349;
Benin [Africa];null;null;2010;Female;62.87867;null;104;13.3208;102.16539;;232.3918;
Republic of Korea [Western Pacific];null;null;2000;Female;79.75586;null;7;17.28754;7.03185;;61.81021;
Grenada [Americas];null;null;2015;Female;75.14696;null;15;15.66503;14.87706;;97.03075;
Chad [Africa];null;null;2015;Both sexes;57.9122;null;;11.98051;128.68014;;366.9976;
Austria [Europe];null;null;2019;Female;83.78033;null;3;19.41547;3.23089;;;
