Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;255.0;null;167.0;2;4.5;
Czechia [Europe];2004;Female;161.0;null;263.0;104.0;0.1;
Panama [Americas];2004;Both sexes;114.0;null;104.0;456.0;9.0;
Azerbaijan [Europe];2004;Male;128.0;null;;492.0;25.5;
Andorra [Europe];2004;Both sexes;113.0;null;138.0;420.0;0.9;
Iraq [Eastern Mediterranean];2004;Female;622.0;null;382.0;1;7.7;
Nepal [South-East Asia];2004;Female;252.0;null;259.0;64.0;2.9;
Bhutan [South-East Asia];2004;Both sexes;328.0;null;79.0;134.0;13.6;
Sudan [Eastern Mediterranean];2004;Both sexes;206.0;null;178.0;60.0;26.3;
Sao Tome and Principe [Africa];2004;Female;113.0;null;174.0;43.0;;
Nepal [South-East Asia];2004;Both sexes;280.0;null;140.0;283.0;14.0;
Mongolia [Western Pacific];2004;Female;135.0;null;93.0;33.0;0.2;
Kuwait [Eastern Mediterranean];2004;Both sexes;120.0;null;63.0;6;5.3;
Tuvalu [Western Pacific];2004;Both sexes;125.0;null;189.0;187.0;2.5;
Somalia [Eastern Mediterranean];2004;Male;404.0;null;;100.0;22.8;
China [Western Pacific];2004;Both sexes;314.0;null;68.0;495.0;11.9;
Venezuela (Bolivarian Republic of) [Americas];2004;Female;97.0;null;226.0;172.0;1.1;
Niger [Africa];2004;Both sexes;159.0;null;173.0;22.0;16.8;
Spain [Europe];2004;Female;55.0;null;237.0;29.0;0.1;
Mauritius [Africa];2004;Male;101.0;null;1;272.0;6.4;
Mexico [Americas];2004;Both sexes;139.0;null;90.0;287.0;9.0;
Saint Vincent and the Grenadines [Americas];2004;Male;327.0;null;4;984.0;12.5;
Eritrea [Africa];2004;Female;62.0;null;127.0;12.0;0.5;
Papua New Guinea [Western Pacific];2004;Male;261.0;null;;506.0;16.9;
Ethiopia [Africa];2004;Both sexes;100.0;null;103.0;133.0;15.9;
Malta [Europe];2004;Male;182.0;null;4;400.0;2.3;
Dominican Republic [Americas];2004;Both sexes;184.0;null;164.0;517.0;14.3;
Angola [Africa];2004;Female;154.0;null;410.0;28.0;4.7;
Latvia [Europe];2004;Female;180.0;null;304.0;251.0;0.0;
Italy [Europe];2004;Female;88.0;null;277.0;72.0;0.2;
Cuba [Americas];2004;Male;174.0;null;1;648.0;1.1;
Solomon Islands [Western Pacific];2004;Male;78.0;null;;237.0;18.6;
Portugal [Europe];2004;Female;79.0;null;271.0;160.0;0.1;
Vanuatu [Western Pacific];2004;Both sexes;80.0;null;128.0;131.0;2.2;
Kazakhstan [Europe];2004;Both sexes;299.0;null;165.0;729.0;28.5;
Dominica [Americas];2004;Female;21.0;null;556.0;213.0;0.0;
Germany [Europe];2004;Male;135.0;null;;846.0;2.7;
Iceland [Europe];2004;Male;175.0;null;4;461.0;0.9;
Netherlands [Europe];2004;Male;107.0;null;2;855.0;1.6;
Samoa [Western Pacific];2004;Male;86.0;null;;5;1.9;
Timor-Leste [South-East Asia];2004;Both sexes;241.0;null;111.0;153.0;13.6;
Paraguay [Americas];2004;Both sexes;120.0;null;126.0;428.0;8.8;
Mozambique [Africa];2004;Female;78.0;null;31.0;15.0;3.9;
Lithuania [Europe];2004;Both sexes;337.0;null;154.0;1030.0;2.3;
Hungary [Europe];2004;Both sexes;232.0;null;166.0;1242.0;5.5;
Cyprus [Europe];2004;Both sexes;67.0;null;120.0;200.0;0.9;
Mexico [Americas];2004;Female;81.0;null;172.0;27.0;4.5;
Sao Tome and Principe [Africa];2004;Both sexes;150.0;null;95.0;174.0;;
Ecuador [Americas];2004;Female;105.0;null;168.0;212.0;0.6;
Denmark [Europe];2004;Female;98.0;null;393.0;202.0;0.0;
Equatorial Guinea [Africa];2004;Both sexes;158.0;null;113.0;73.0;32.7;
Sudan [Eastern Mediterranean];2004;Female;141.0;null;347.0;16.0;7.8;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;156.0;null;116.0;572.0;7.7;
New Zealand [Western Pacific];2004;Both sexes;170.0;null;200.0;284.0;2.5;
Sierra Leone [Africa];2004;Male;316.0;null;;292.0;38.9;
Peru [Americas];2004;Male;166.0;null;;1336.0;7.4;
Guatemala [Americas];2004;Female;101.0;null;234.0;169.0;1.1;
Lithuania [Europe];2004;Male;553.0;null;1;1803.0;2.1;
Guyana [Americas];2004;Both sexes;184.0;null;190.0;437.0;22.3;
Kenya [Africa];2004;Female;75.0;null;178.0;24.0;5.3;
Burkina Faso [Africa];2004;Male;178.0;null;;260.0;16.1;
Colombia [Americas];2004;Male;246.0;null;;1324.0;11.1;
Republic of Moldova [Europe];2004;Both sexes;251.0;null;159.0;1102.0;1.8;
Philippines [Western Pacific];2004;Male;141.0;null;;1082.0;12.6;
Equatorial Guinea [Africa];2004;Female;118.0;null;214.0;18.0;0.1;
Saint Lucia [Americas];2004;Both sexes;85.0;null;151.0;616.0;10.6;
Bangladesh [South-East Asia];2004;Female;310.0;null;169.0;12.0;20.4;
Equatorial Guinea [Africa];2004;Male;199.0;null;;129.0;36.4;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Both sexes;97.0;null;182.0;663.0;3.5;
Iraq [Eastern Mediterranean];2004;Both sexes;1002.0;null;192.0;18.0;35.6;
Turkmenistan [Europe];2004;Both sexes;210.0;null;72.0;186.0;29.0;
Suriname [Americas];2004;Male;207.0;null;12.0;747.0;16.8;
Liberia [Africa];2004;Female;87.0;null;298.0;25.0;1.4;
